Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense,Divination,Muggle Studies,Ancient Runes,History,Transfiguration,Potions,Charms,Flying
35,Slytherin,Student35,Name35,2000-01-01,Right,61.81,31.88,36.59,51.41,60.88,50.76,58.21,63.04,47.07,67.96,57.71,77.92
36,Gryffindor,Student36,Name36,2000-01-01,Right,64.12,46.03,40.00,65.89,49.20,65.09,66.42,38.82,50.08,27.15,61.44,50.39
37,Hufflepuff,Student37,Name37,2000-01-01,Left,40.02,75.14,92.48,20.43,33.27,72.12,35.45,49.17,51.94,65.38,51.65,51.43
38,Ravenclaw,Student38,Name38,2000-01-01,Right,63.42,51.22,58.57,69.49,74.55,70.04,79.80,67.53,61.77,53.62,59.94,43.67
39,Slytherin,Student39,Name39,2000-01-01,Right,73.92,54.55,48.18,72.96,51.03,30.39,60.36,21.67,54.91,76.20,73.54,57.27
40,Gryffindor,Student40,Name40,2000-01-01,Right,37.23,57.59,59.25,48.63,45.98,13.34,50.95,52.89,64.49,61.37,50.63,48.10
41,Hufflepuff,Student41,Name41,2000-01-01,Left,47.01,30.68,80.13,67.83,54.90,52.60,71.36,19.83,52.66,57.15,46.44,70.87
42,Ravenclaw,Student42,Name42,2000-01-01,Right,51.07,79.37,70.41,65.56,55.15,50.01,69.12,36.06,58.85,50.51,91.07,47.34
43,Slytherin,Student43,Name43,2000-01-01,Right,47.00,56.28,31.30,59.49,66.33,22.40,90.09,73.50,36.44,48.80,50.75,39.53
44,Gryffindor,Student44,Name44,2000-01-01,Right,61.62,37.44,61.67,52.59,29.04,51.66,48.59,38.23,76.86,32.31,86.51,81.05
45,Hufflepuff,Student45,Name45,2000-01-01,Left,34.91,59.53,67.38,52.49,60.63,52.35,61.32,81.07,33.38,81.06,51.36,38.50
46,Ravenclaw,Student46,Name46,2000-01-01,Left,76.01,62.97,46.75,37.94,61.18,32.05,54.40,51.17,66.77,48.61,69.09,72.65
47,Slytherin,Student47,Name47,2000-01-01,Right,45.20,41.67,29.50,56.95,49.66,31.56,56.52,38.60,54.93,77.61,57.67,62.08
48,Gryffindor,Student48,Name48,2000-01-01,Right,50.73,30.43,58.62,86.88,38.46,9.41,37.91,48.11,67.95,60.82,61.33,74.34
49,Hufflepuff,Student49,Name49,2000-01-01,Left,43.26,52.44,88.80,46.94,52.47,52.63,66.81,42.18,63.66,40.95,39.13,53.09
50,Ravenclaw,Student50,Name50,2000-01-01,Left,100.00,76.32,22.40,58.89,55.22,58.44,61.58,61.38,76.42,70.55,49.10,95.20
51,Slytherin,Student51,Name51,2000-01-01,Left,61.86,29.60,47.72,49.62,33.75,42.68,32.15,60.48,67.78,69.20,40.09,40.82
52,Gryffindor,Student52,Name52,2000-01-01,Right,59.69,36.69,60.34,91.39,50.11,57.73,50.98,50.50,40.83,61.16,57.21,75.52
53,Hufflepuff,Student53,Name53,2000-01-01,Right,50.20,39.21,56.95,18.55,59.95,39.58,36.50,25.36,33.23,63.53,35.33,23.76
54,Ravenclaw,Student54,Name54,2000-01-01,Right,78.14,68.92,41.17,78.32,48.77,49.79,81.27,81.14,53.86,20.91,47.50,49.95
55,Slytherin,Student55,Name55,2000-01-01,Left,75.46,53.95,40.00,70.23,82.21,65.82,70.09,33.17,100.00,52.02,49.42,44.50
56,Gryffindor,Student56,Name56,2000-01-01,Left,50.67,23.10,35.63,42.80,53.31,68.09,38.44,36.93,71.65,62.52,48.83,84.35
57,Hufflepuff,Student57,Name57,2000-01-01,Right,43.91,75.23,61.40,85.11,62.37,42.53,42.49,58.65,32.34,90.62,40.14,60.21
58,Ravenclaw,Student58,Name58,2000-01-01,Right,59.72,49.31,41.73,60.01,43.71,74.24,47.13,47.03,70.45,73.13,79.47,42.93
59,Slytherin,Student59,Name59,2000-01-01,Right,89.16,77.88,36.40,52.99,60.33,60.92,53.72,47.86,88.10,68.39,47.72,56.80
60,Gryffindor,Student60,Name60,2000-01-01,Right,26.18,40.24,43.03,69.33,66.33,13.79,50.75,68.97,34.79,77.62,29.19,63.40
61,Hufflepuff,Student61,Name61,2000-01-01,Right,50.65,81.14,39.88,67.83,27.23,58.65,52.41,67.36,2.68,26.23,46.51,50.55
62,Ravenclaw,Student62,Name62,2000-01-01,Right,59.30,80.71,34.08,50.54,55.77,63.73,58.67,46.52,67.67,80.79,88.86,56.71
63,Slytherin,Student63,Name63,2000-01-01,Right,65.58,36.27,30.65,36.18,67.42,42.89,77.24,54.08,29.45,53.74,66.37,43.51
64,Gryffindor,Student64,Name64,2000-01-01,Right,26.86,46.42,36.53,81.72,54.55,63.93,63.38,47.38,52.34,34.66,77.51,41.46
65,Hufflepuff,Student65,Name65,2000-01-01,Right,45.46,63.96,65.06,25.17,57.82,57.09,74.26,63.83,95.54,30.31,54.67,34.00
66,Ravenclaw,Student66,Name66,2000-01-01,Left,49.68,42.32,28.35,63.00,63.78,52.38,68.57,53.02,59.06,60.96,45.99,46.23
67,Slytherin,Student67,Name67,2000-01-01,Right,62.93,55.33,59.36,44.87,51.91,78.08,70.38,63.06,54.71,81.51,82.06,56.60
68,Gryffindor,Student68,Name68,2000-01-01,Right,46.14,32.10,42.10,74.94,26.75,38.80,39.88,55.21,65.64,46.74,47.09,76.42
69,Hufflepuff,Student69,Name69,2000-01-01,Left,37.35,46.43,82.53,49.42,76.77,56.96,52.03,74.15,40.27,32.20,74.52,56.21
70,Ravenclaw,Student70,Name70,2000-01-01,Right,80.15,58.02,56.20,35.46,47.20,72.08,48.63,49.45,61.00,33.36,76.12,32.07
71,Slytherin,Student71,Name71,2000-01-01,Right,52.18,39.74,26.60,67.17,49.28,38.52,53.04,73.89,58.60,77.13,16.21,45.19
72,Gryffindor,Student72,Name72,2000-01-01,Right,74.19,25.38,53.77,97.96,17.99,53.09,49.71,36.36,88.85,80.49,84.78,95.24
73,Hufflepuff,Student73,Name73,2000-01-01,Right,48.24,13.61,96.53,44.47,37.36,79.81,73.53,56.62,28.48,61.28,45.68,32.44
74,Ravenclaw,Student74,Name74,2000-01-01,Right,76.68,62.37,50.34,58.36,74.38,42.19,74.14,59.61,90.78,65.81,75.72,43.14
75,Slytherin,Student75,Name75,2000-01-01,Right,83.16,77.92,39.15,76.46,75.68,62.97,70.86,62.42,43.15,48.29,69.74,49.79
76,Gryffindor,Student76,Name76,2000-01-01,Right,58.77,52.82,69.13,80.14,14.08,70.14,64.13,52.95,25.52,67.81,64.22,59.59
77,Hufflepuff,Student77,Name77,2000-01-01,Right,15.20,43.58,60.46,61.73,57.83,67.12,64.54,41.52,38.80,36.66,52.45,48.21
78,Ravenclaw,Student78,Name78,2000-01-01,Right,70.31,72.78,44.80,52.77,60.97,44.83,71.43,94.59,60.98,62.46,65.92,49.34
79,Slytherin,Student79,Name79,2000-01-01,Right,64.86,56.25,44.96,69.29,48.18,42.09,86.38,52.47,56.01,83.23,57.25,59.37
80,Gryffindor,Student80,Name80,2000-01-01,Right,25.51,35.95,29.26,73.87,37.82,49.40,13.84,49.13,85.26,62.06,72.21,51.49
81,Hufflepuff,Student81,Name81,2000-01-01,Right,60.18,53.81,54.93,52.00,48.19,43.97,59.94,51.85,67.95,64.98,66.02,54.82
82,Ravenclaw,Student82,Name82,2000-01-01,Right,57.31,61.02,68.44,54.38,40.40,60.87,83.95,78.62,78.10,37.62,67.85,26.21
83,Slytherin,Student83,Name83,2000-01-01,Left,49.69,53.24,36.26,73.98,44.21,48.38,40.12,59.85,48.92,76.13,59.95,52.40
84,Gryffindor,Student84,Name84,2000-01-01,Right,55.63,43.74,53.07,42.65,26.30,43.09,37.58,44.94,70.08,64.73,47.33,43.47
85,Hufflepuff,Student85,Name85,2000-01-01,Right,47.87,16.22,58.72,41.76,45.84,55.12,49.09,46.09,72.54,73.22,37.87,68.81
86,Ravenclaw,Student86,Name86,2000-01-01,Right,80.19,37.88,77.35,50.59,43.73,40.91,99.04,70.67,70.67,44.61,74.89,71.17
87,Slytherin,Student87,Name87,2000-01-01,Right,59.11,51.40,58.26,45.85,43.26,49.84,57.49,47.22,54.74,59.56,43.00,61.61
88,Gryffindor,Student88,Name88,2000-01-01,Right,45.39,14.43,49.24,67.40,53.30,52.85,33.42,34.85,56.94,76.88,43.86,66.46
89,Hufflepuff,Student89,Name89,2000-01-01,Left,55.23,47.63,58.93,55.22,47.48,44.40,52.72,51.03,33.95,67.41,67.69,50.61
90,Ravenclaw,Student90,Name90,2000-01-01,Left,77.50,73.75,49.12,56.65,59.83,45.68,47.92,80.99,36.60,54.95,67.01,44.56
91,Slytherin,Student91,Name91,2000-01-01,Right,62.82,50.77,71.27,45.81,32.60,36.03,56.07,34.90,57.31,72.04,42.79,79.05
92,Gryffindor,Student92,Name92,2000-01-01,Right,66.61,10.68,79.61,85.22,45.84,69.98,35.11,47.74,54.95,67.69,55.46,72.89
93,Hufflepuff,Student93,Name93,2000-01-01,Right,68.51,66.77,81.55,42.25,51.07,32.55,59.38,44.89,56.02,62.91,34.72,34.79
94,Ravenclaw,Student94,Name94,2000-01-01,Right,81.41,88.17,24.88,55.93,61.02,38.66,82.19,56.13,51.15,39.23,78.86,34.13
95,Slytherin,Student95,Name95,2000-01-01,Left,74.74,56.74,41.08,71.37,66.75,51.17,53.91,65.28,81.53,79.91,81.56,68.90
96,Gryffindor,Student96,Name96,2000-01-01,Right,36.62,28.20,36.45,74.43,53.29,19.19,24.02,58.49,52.36,44.22,51.52,66.31
97,Hufflepuff,Student97,Name97,2000-01-01,Left,80.57,74.45,56.85,69.77,45.77,59.74,55.23,71.10,33.06,61.78,62.86,62.17
98,Ravenclaw,Student98,Name98,2000-01-01,Left,58.55,72.39,28.38,39.73,56.67,50.57,83.73,77.64,59.88,78.51,46.92,22.82
99,Slytherin,Student99,Name99,2000-01-01,Right,50.08,67.17,53.78,70.80,72.75,40.32,44.30,62.66,66.94,65.10,36.02,73.59
100,Gryffindor,Student100,Name100,2000-01-01,Right,36.44,15.29,53.39,47.24,23.68,46.43,37.40,56.58,53.85,62.19,68.13,100.00
101,Hufflepuff,Student101,Name101,2000-01-01,Right,56.20,63.07,95.60,63.49,75.72,75.28,70.86,28.23,63.21,58.19,55.81,42.09
102,Ravenclaw,Student102,Name102,2000-01-01,Right,84.83,89.11,53.61,27.94,68.15,68.88,45.91,76.97,66.27,71.21,59.57,74.33
103,Slytherin,Student103,Name103,2000-01-01,Right,47.39,47.26,51.08,44.25,57.32,32.64,100.00,35.88,43.15,72.91,41.46,67.41
104,Gryffindor,Student104,Name104,2000-01-01,Right,61.00,15.38,62.34,78.69,25.71,26.33,43.43,47.65,76.59,30.88,54.44,89.84
105,Hufflepuff,Student105,Name105,2000-01-01,Left,62.01,50.25,36.48,63.89,57.87,76.18,52.96,57.83,66.73,60.82,59.32,98.22
106,Ravenclaw,Student106,Name106,2000-01-01,Right,100.00,71.11,61.55,36.59,62.10,47.11,58.52,92.47,62.27,47.27,60.49,34.27
107,Slytherin,Student107,Name107,2000-01-01,Left,70.13,55.51,54.63,43.71,47.38,26.81,69.47,57.95,53.52,74.45,31.65,67.87
108,Gryffindor,Student108,Name108,2000-01-01,Right,74.97,60.89,52.76,68.44,33.89,48.92,59.85,62.46,51.64,47.65,40.81,76.09
109,Hufflepuff,Student109,Name109,2000-01-01,Left,60.54,54.11,52.39,47.09,74.01,58.60,41.94,65.74,22.20,23.20,54.94,52.71
110,Ravenclaw,Student110,Name110,2000-01-01,Right,56.32,85.18,32.15,36.41,58.75,41.57,83.12,70.18,68.62,46.42,68.05,33.51
111,Slytherin,Student111,Name111,2000-01-01,Right,41.46,29.82,68.94,70.02,37.94,48.29,69.63,52.72,88.71,79.09,10.11,50.65
112,Gryffindor,Student112,Name112,2000-01-01,Right,49.48,65.09,60.10,83.14,50.79,20.50,46.19,56.73,38.74,78.22,58.66,33.21
113,Hufflepuff,Student113,Name113,2000-01-01,Right,72.33,52.11,35.92,50.53,28.24,56.74,54.13,48.98,27.70,38.26,42.33,46.28
114,Ravenclaw,Student114,Name114,2000-01-01,Left,63.19,54.12,37.37,45.50,54.84,42.03,94.24,72.97,33.03,97.54,58.55,91.47
115,Slytherin,Student115,Name115,2000-01-01,Right,79.04,59.71,27.39,80.41,34.09,11.52,72.80,66.03,55.78,66.08,78.76,65.68
116,Gryffindor,Student116,Name116,2000-01-01,Right,35.61,53.03,37.14,56.13,58.73,45.43,51.61,30.47,45.15,52.22,53.29,55.82
117,Hufflepuff,Student117,Name117,2000-01-01,Left,53.41,37.43,55.39,62.56,54.14,71.62,7.56,71.65,42.59,87.59,47.34,50.42
118,Ravenclaw,Student118,Name118,2000-01-01,Right,39.35,74.53,43.95,57.17,47.98,28.62,59.13,77.56,82.21,62.44,87.72,31.52
119,Slytherin,Student119,Name119,2000-01-01,Right,79.18,40.58,49.85,42.79,57.27,51.94,77.05,70.31,73.80,73.13,36.61,74.86
120,Gryffindor,Student120,Name120,2000-01-01,Right,45.14,35.88,33.42,100.00,41.44,32.03,53.36,22.27,95.95,72.96,49.73,52.21
121,Hufflepuff,Student121,Name121,2000-01-01,Right,37.78,80.50,74.05,28.95,71.19,95.54,24.94,68.55,57.26,57.64,60.15,57.38
122,Ravenclaw,Student122,Name122,2000-01-01,Right,66.51,51.62,79.67,43.45,66.46,45.61,52.45,50.76,74.00,64.02,47.66,46.30
123,Slytherin,Student123,Name123,2000-01-01,Left,68.10,46.89,32.00,39.88,27.23,27.30,34.19,39.10,59.50,70.81,42.60,39.73
124,Gryffindor,Student124,Name124,2000-01-01,Right,51.66,24.52,43.69,56.50,36.35,41.11,66.59,45.37,67.68,33.53,58.29,70.58
125,Hufflepuff,Student125,Name125,2000-01-01,Left,38.97,61.39,75.84,69.64,45.85,82.06,52.05,25.36,57.85,53.78,41.76,64.00
126,Ravenclaw,Student126,Name126,2000-01-01,Right,58.43,67.47,50.09,61.77,56.31,69.30,56.52,57.49,70.86,48.37,55.79,67.41
127,Slytherin,Student127,Name127,2000-01-01,Right,61.45,32.44,27.45,58.37,48.83,48.03,76.76,43.99,65.21,67.83,52.09,58.86
128,Gryffindor,Student128,Name128,2000-01-01,Right,66.15,25.27,36.71,73.42,54.13,36.95,67.89,33.72,61.25,40.74,44.19,76.40
129,Hufflepuff,Student129,Name129,2000-01-01,Left,49.46,53.08,44.50,49.32,46.63,100.00,51.80,48.17,64.83,52.66,58.80,36.89
130,Ravenclaw,Student130,Name130,2000-01-01,Right,70.31,55.01,32.37,53.99,67.82,57.29,56.53,79.74,45.26,60.47,51.69,48.70
131,Slytherin,Student131,Name131,2000-01-01,Right,83.95,89.08,44.15,47.38,35.46,69.11,36.92,45.25,46.51,96.25,39.80,71.52
132,Gryffindor,Student132,Name132,2000-01-01,Right,26.84,26.56,51.46,47.38,61.78,52.84,75.66,44.61,63.22,35.57,56.45,45.47
133,Hufflepuff,Student133,Name133,2000-01-01,Left,40.63,39.88,74.60,42.87,53.40,56.55,61.86,52.69,62.92,56.54,68.34,68.71
134,Ravenclaw,Student134,Name134,2000-01-01,Right,75.27,31.66,67.07,37.46,67.56,58.12,68.52,77.83,55.40,39.40,61.39,58.52
135,Slytherin,Student135,Name135,2000-01-01,Right,52.31,61.73,48.30,36.26,35.67,26.93,52.45,43.75,55.42,89.17,61.34,94.80
136,Gryffindor,Student136,Name136,2000-01-01,Left,47.52,49.92,51.34,57.42,24.67,78.42,53.37,38.49,76.25,70.62,29.44,93.81
137,Hufflepuff,Student137,Name137,2000-01-01,Right,81.01,47.37,66.89,61.96,51.91,46.52,44.20,59.09,40.01,56.32,21.14,41.63
138,Ravenclaw,Student138,Name138,2000-01-01,Right,83.49,80.75,40.44,49.20,51.09,38.83,61.81,61.25,44.61,67.36,85.78,65.20
139,Slytherin,Student139,Name139,2000-01-01,Left,27.20,39.26,15.76,79.37,62.34,33.18,72.07,86.73,45.65,89.49,60.44,51.45
140,Gryffindor,Student140,Name140,2000-01-01,Right,26.54,34.73,85.58,57.15,59.07,77.65,65.14,80.09,75.08,54.73,24.78,66.02
141,Hufflepuff,Student141,Name141,2000-01-01,Right,82.44,41.24,89.40,51.13,88.45,86.73,45.28,99.04,33.14,50.30,82.12,38.98
142,Ravenclaw,Student142,Name142,2000-01-01,Right,72.58,71.87,58.69,69.17,59.56,64.62,62.77,38.56,42.01,44.57,78.33,76.36
143,Slytherin,Student143,Name143,2000-01-01,Right,68.40,34.02,64.08,71.57,53.29,52.57,54.95,60.14,54.26,80.97,55.88,17.78
144,Gryffindor,Student144,Name144,2000-01-01,Right,49.61,37.76,41.89,51.05,51.96,52.86,44.66,64.33,28.15,54.50,56.28,52.60
145,Hufflepuff,Student145,Name145,2000-01-01,Left,65.84,48.69,62.07,43.04,60.78,66.44,54.71,34.54,33.65,64.55,36.68,53.40
146,Ravenclaw,Student146,Name146,2000-01-01,Right,72.23,76.09,50.91,24.53,74.21,63.03,63.27,59.20,60.07,52.90,47.99,44.75
147,Slytherin,Student147,Name147,2000-01-01,Right,67.87,60.82,37.60,59.05,55.49,64.07,75.08,59.69,60.94,54.62,38.49,53.62
148,Gryffindor,Student148,Name148,2000-01-01,Left,23.55,46.37,52.48,55.15,55.07,27.31,45.97,47.84,56.95,59.51,95.01,63.71
149,Hufflepuff,Student149,Name149,2000-01-01,Left,58.48,53.46,48.42,63.91,59.12,18.68,45.47,42.57,64.71,54.34,77.31,26.13
150,Ravenclaw,Student150,Name150,2000-01-01,Right,60.94,44.86,28.82,49.66,54.58,62.69,47.10,60.73,63.52,44.46,68.22,50.07
151,Slytherin,Student151,Name151,2000-01-01,Left,51.30,33.32,17.63,54.43,50.22,58.83,54.33,84.86,53.85,62.75,60.71,40.44
152,Gryffindor,Student152,Name152,2000-01-01,Right,51.98,38.22,56.88,76.66,64.80,54.24,48.63,45.46,59.10,39.81,61.03,75.45
153,Hufflepuff,Student153,Name153,2000-01-01,Right,71.66,61.17,63.26,76.76,53.48,46.94,36.70,42.06,44.54,66.48,68.70,67.27
154,Ravenclaw,Student154,Name154,2000-01-01,Left,68.34,70.05,79.27,45.19,77.87,43.90,49.25,72.75,100.00,48.81,52.51,26.82
155,Slytherin,Student155,Name155,2000-01-01,Right,52.62,54.28,27.06,77.61,21.22,49.83,52.63,72.34,66.43,38.74,18.66,39.98
156,Gryffindor,Student156,Name156,2000-01-01,Right,57.45,48.35,61.25,90.71,70.67,36.35,70.14,63.22,64.33,66.04,50.59,46.91
157,Hufflepuff,Student157,Name157,2000-01-01,Right,64.62,78.51,66.92,31.06,24.98,63.91,36.26,87.63,85.12,58.39,62.28,48.23
158,Ravenclaw,Student158,Name158,2000-01-01,Right,58.92,66.48,41.96,48.81,76.37,45.34,67.34,50.51,51.16,52.03,63.69,67.94
159,Slytherin,Student159,Name159,2000-01-01,Right,94.45,74.58,16.82,65.47,62.40,37.60,43.46,59.93,56.51,78.29,52.63,89.97
160,Gryffindor,Student160,Name160,2000-01-01,Right,42.50,44.27,47.95,82.86,53.82,34.72,37.14,31.18,58.72,82.82,81.02,60.51
161,Hufflepuff,Student161,Name161,2000-01-01,Right,68.12,78.26,81.63,70.93,21.63,62.45,34.25,49.38,53.67,56.42,75.64,20.32
162,Ravenclaw,Student162,Name162,2000-01-01,Right,71.39,49.59,55.98,45.91,59.46,53.04,50.51,64.48,48.58,40.00,52.18,38.48
163,Slytherin,Student163,Name163,2000-01-01,Right,78.98,50.79,63.37,61.37,43.60,85.82,87.32,52.95,42.52,45.86,61.02,51.17
164,Gryffindor,Student164,Name164,2000-01-01,Left,55.81,47.88,27.81,65.44,43.36,65.00,39.31,60.96,18.11,36.87,63.44,87.51
165,Hufflepuff,Student165,Name165,2000-01-01,Right,38.14,30.61,70.40,43.37,41.19,73.09,56.94,55.71,58.37,70.55,30.96,60.60
166,Ravenclaw,Student166,Name166,2000-01-01,Right,74.21,59.77,45.65,54.22,67.25,84.31,77.96,53.94,70.65,56.70,93.69,35.51
167,Slytherin,Student167,Name167,2000-01-01,Right,93.74,57.08,29.91,95.18,28.60,31.97,56.49,35.29,62.91,74.15,56.70,83.41
168,Gryffindor,Student168,Name168,2000-01-01,Right,60.72,31.85,55.29,61.77,69.01,48.26,9.41,49.80,75.17,60.32,67.24,53.38
169,Hufflepuff,Student169,Name169,2000-01-01,Right,69.48,50.78,70.54,46.36,48.14,100.00,40.96,55.83,64.87,49.23,45.57,30.06
170,Ravenclaw,Student170,Name170,2000-01-01,Left,50.28,46.80,48.57,48.96,73.39,74.50,48.60,46.65,62.10,61.50,77.87,50.42
171,Slytherin,Student171,Name171,2000-01-01,Right,59.01,57.94,51.28,75.12,35.54,39.82,73.83,52.30,71.89,81.18,48.33,68.21
172,Gryffindor,Student172,Name172,2000-01-01,Left,45.19,44.09,81.48,51.05,64.36,47.33,57.11,62.85,68.16,64.72,54.58,65.23
173,Hufflepuff,Student173,Name173,2000-01-01,Right,39.82,63.21,80.11,55.31,55.45,81.01,46.77,49.50,60.01,62.96,67.79,45.74
174,Ravenclaw,Student174,Name174,2000-01-01,Right,74.47,52.35,36.00,78.76,85.77,23.66,73.65,74.96,74.50,51.73,49.79,85.66
175,Slytherin,Student175,Name175,2000-01-01,Right,54.05,72.34,25.38,61.11,50.69,59.55,66.08,36.30,69.58,82.68,39.23,44.68
176,Gryffindor,Student176,Name176,2000-01-01,Right,14.73,28.52,32.13,75.62,33.47,54.69,40.25,24.04,64.35,40.24,38.75,65.09
177,Hufflepuff,Student177,Name177,2000-01-01,Left,42.09,35.03,71.43,44.30,72.11,59.00,40.52,65.41,70.19,43.96,29.46,42.82
178,Ravenclaw,Student178,Name178,2000-01-01,Right,84.74,53.64,45.91,50.18,62.61,33.19,51.73,82.10,100.00,66.82,58.33,36.39
179,Slytherin,Student179,Name179,2000-01-01,Right,75.55,46.60,56.58,60.77,31.90,43.78,42.83,40.49,40.92,74.99,57.80,35.20
180,Gryffindor,Student180,Name180,2000-01-01,Right,48.12,42.77,67.32,79.50,52.24,48.23,57.72,46.98,53.73,70.30,64.61,81.60
181,Hufflepuff,Student181,Name181,2000-01-01,Right,33.55,63.78,64.68,61.51,57.74,53.11,67.65,37.40,46.03,46.94,66.16,48.87
182,Ravenclaw,Student182,Name182,2000-01-01,Left,80.28,81.23,60.53,52.19,52.08,60.38,54.87,52.67,85.35,58.78,71.53,69.00
